id,object_name,chain,object_type,address,number,street,district
85339,Макдоналдс,True,фастфуд,"город Москва, проспект Андропова, дом 8",20,проспект Андропова,Даниловский
85414,Крошка Картошка,True,фастфуд,"город Москва, проспект Андропова, дом 8",15,проспект Андропова,Даниловский
85387,Вок Вэй,False,фастфуд,"город Москва, проспект Андропова, дом 8",10,проспект Андропова,Даниловский
85393,Иль Патио Планета Суши,True,ресторан,"город Москва, проспект Андропова, дом 8",160,проспект Андропова,Даниловский
85399,Теремок,True,фастфуд,"город Москва, проспект Андропова, дом 8",0,проспект Андропова,Даниловский
21159,Буфет «МЦБИ»,False,буфет,"город Москва, Варшавское шоссе, дом 118, корпус 1",0,Варшавское шоссе,Чертаново Северное
146684,Кальян-бар Shisha Room,False,бар,"город Москва, Кустанайская улица, дом 8, корпус 3",25,Кустанайская улица,Зябликово
70538,SushiWok,False,фастфуд,"город Москва, Кустанайская улица, дом 8, корпус 3",0,Кустанайская улица,Зябликово
158168,Солнце Плаза,False,ресторан,"город Москва, Чертановская улица, дом 40, корпус 1",140,Чертановская улица,Чертаново Центральное
126328,Горячая лепешка,False,фастфуд,"город Москва, Чертановская улица, дом 40, корпус 1",20,Чертановская улица,Чертаново Центральное
74113,Домино'с Пицца,True,фастфуд,"город Москва, Коломенская набережная, дом 14А",10,Коломенская набережная,Нагатинский Затон
53126,Старбакс,True,фастфуд,"город Москва, Большая Тульская улица, дом 11",80,Большая Тульская улица,Даниловский
53050,Иль Патио,True,ресторан,"город Москва, Большая Тульская улица, дом 11",205,Большая Тульская улица,Даниловский
129476,Прайм стар,True,кафе,"город Москва, Большая Тульская улица, дом 11",30,Большая Тульская улица,Даниловский
146790,Кофетерий «Кондитерский дом Александра Селезнева»,False,кафетерий,"город Москва, Большая Тульская улица, дом 11",8,Большая Тульская улица,Даниловский
149858,Шикари Иль Патио,True,бар,"город Москва, Большая Тульская улица, дом 11",11,Большая Тульская улица,Даниловский
26676,Грабли,True,ресторан,"город Москва, Большая Тульская улица, дом 11",200,Большая Тульская улица,Даниловский
27155,Ресторан «Тануки»,True,ресторан,"город Москва, Липецкая улица, дом 2, корпус 8",75,Липецкая улица,Бирюлёво Восточное
70241,Ресторан «Ёрш»,True,ресторан,"город Москва, Липецкая улица, дом 2, корпус 8",120,Липецкая улица,Бирюлёво Восточное
141685,Буфет «Апельсин»,False,столовая,"город Москва, проспект Андропова, дом 18, корпус 1",250,проспект Андропова,Даниловский
153211,Кофейня «Твой кофе»,False,кафе,"город Москва, Большая Тульская улица, дом 19",1,Большая Тульская улица,Даниловский
153069,Экспресс БИСТРО,False,закусочная,"город Москва, Большая Тульская улица, дом 19",4,Большая Тульская улица,Даниловский
102462,Кафе Аюпов А.А.,False,фастфуд,"город Москва, Каширское шоссе, дом 19, корпус 2",15,Каширское шоссе,Нагатино-Садовники
102527,Кафе Соболев О.М.,False,фастфуд,"город Москва, Каширское шоссе, дом 19, корпус 2",5,Каширское шоссе,Нагатино-Садовники
102556,Кафе «Метиз»,False,фастфуд,"город Москва, Каширское шоссе, дом 19, корпус 2",47,Каширское шоссе,Нагатино-Садовники
131845,Кафе «Оптима»,False,фастфуд,"город Москва, Каширское шоссе, дом 19, корпус 2",5,Каширское шоссе,Нагатино-Садовники
131791,Кафе,False,фастфуд,"город Москва, Каширское шоссе, дом 19, корпус 2",5,Каширское шоссе,Нагатино-Садовники
150451,Столовая «Фламинго»,False,столовая,"город Москва, Дубининская улица, дом 57, строение 4",64,Дубининская улица,Даниловский
154292,Пекарня,False,фастфуд,"город Москва, Россошанский проезд, дом 2А",2,Россошанский проезд,Чертаново Южное
151633,Кофейник«Капучино Лаб»,False,кафе,"город Москва, улица Борисовские Пруды, дом 26",2,улица Борисовские Пруды,Братеево
131583,Орехово Пицца,False,кафе,"город Москва, улица Маршала Захарова, дом 2",30,улица Маршала Захарова,Орехово-Борисово Северное
140322,Кафе «Бургерим»,False,фастфуд,"город Москва, улица Вавилова, дом 3",6,улица Вавилова,Донской
58190,Кафе «Марше Интернэшнл»,False,фастфуд,"город Москва, улица Вавилова, дом 3",2,улица Вавилова,Донской
93559,Кафе «Данкин Донатс»,True,кафе,"город Москва, улица Вавилова, дом 3",7,улица Вавилова,Донской
92718,Ресторан «Бургер Кинг»,True,фастфуд,"город Москва, улица Вавилова, дом 3",30,улица Вавилова,Донской
92719,Кафе «Yummy MIX Salad Bar»,False,фастфуд,"город Москва, улица Вавилова, дом 3",10,улица Вавилова,Донской
92746,Закусочная «Kebab Grill»,False,закусочная,"город Москва, улица Вавилова, дом 3",30,улица Вавилова,Донской
92764,Кафе «Крошка Картошка»,True,фастфуд,"город Москва, улица Вавилова, дом 3",30,улица Вавилова,Донской
90880,Закусочная «KFC»,True,закусочная,"город Москва, улица Вавилова, дом 3",40,улица Вавилова,Донской
90881,Закусочная «Пицца Хат»,True,закусочная,"город Москва, улица Вавилова, дом 3",20,улица Вавилова,Донской
91643,Ресторан «Планета Суши»,True,ресторан,"город Москва, улица Вавилова, дом 3",220,улица Вавилова,Донской
91647,Ресторан «Иль Патио»,True,ресторан,"город Москва, улица Вавилова, дом 3",320,улица Вавилова,Донской
91649,Кафе «Costa coffee»,True,кафе,"город Москва, улица Вавилова, дом 3",20,улица Вавилова,Донской
27540,Столовая «Школа 566»,False,столовая,"город Москва, Загородное шоссе, дом 8А",220,Загородное шоссе,Донской
155785,Додо Пицца,True,кафе,"город Москва, Варшавское шоссе, дом 152А",6,Варшавское шоссе,Чертаново Южное
141679,Кулинарная лавка«Два кренделя»,False,кафе,"город Москва, проспект Андропова, дом 18, строение 5",40,проспект Андропова,Даниловский
28101,ОАО «ФАБЕРЛИК КОСМЕТИК»,False,столовая,"город Москва, Никопольская улица, дом 4",45,Никопольская улица,Бирюлёво Западное
124801,Ресторан «ТАНУКИ»,True,ресторан,"город Москва, улица Борисовские Пруды, дом 10",150,улица Борисовские Пруды,Братеево
114492,Столовая,False,столовая,"город Москва, улица Подольских Курсантов, дом 26, строение 1",120,улица Подольских Курсантов,Бирюлёво Западное
76800,Макдоналдс,True,фастфуд,"город Москва, Каширское шоссе, дом 14",87,Каширское шоссе,Нагатино-Садовники
131313,KFC,True,фастфуд,"город Москва, Каширское шоссе, дом 14",87,Каширское шоссе,Нагатино-Садовники
84467,Иль Патио Планета Суши,True,ресторан,"город Москва, Каширское шоссе, дом 14",160,Каширское шоссе,Нагатино-Садовники
84463,Бургер Кинг,True,фастфуд,"город Москва, Каширское шоссе, дом 14",87,Каширское шоссе,Нагатино-Садовники
84465,Крошка Картошка,True,фастфуд,"город Москва, Каширское шоссе, дом 14",87,Каширское шоссе,Нагатино-Садовники
84473,Кафе «Теремок»,True,фастфуд,"город Москва, Каширское шоссе, дом 14",86,Каширское шоссе,Нагатино-Садовники
84474,Каффе «Wokker»,True,фастфуд,"город Москва, Каширское шоссе, дом 14",87,Каширское шоссе,Нагатино-Садовники
